paragraph,Index
"In this paper we described a system that combines the loss function derived from <REF> with a recurrent variant of the Transformer architecture, called Universal Transformer.",241
"Approaches to sentiment analysis have moved from lexicon-based methods <REF>, to machine learning methods based on hand derived features  and finally to neural networks that learn to extract useful features in an end-to-end fashion .",242
• BOW: a L2-regularized logistic regression model trained on a bag-of-words representation <REF>.,243
"One of the pioneering contextualized word embedding models is Context2Vec <REF>, which computes the embedding for a word in context using a multi-layer perceptron which is built on top of a bidirectional LSTM  language model.",244
"The arrival of modern language models like ELMo <REF>, BERT , and GPT , have significantly advanced the state-of-the art in a wide range of NLP problems.",245
ProBERT uses a fine-tuned BERT language model <REF> with a classification head on top to serve as baseline.,246
ProBERT uses a fine-tuned BERT language model <REF> with a classification head on top to serve as baseline.,247
"Such a model can also take advantage of recent advances in representation learning, such as BERT <REF>, in defining this similarity.",248
"Retrieval-based approaches to structured prediction appear particularly compelling now with the recent successes in contextualized word embedding <REF>, which should allow for expressive representations of sentences and phrases, which in turn allow for better retrieval of neighbors for structured prediction.",249
"2 While recent sequence labeling models <REF>, often model inter-label dependence with a first-order CRF ,  have recently shown that excellent performance can be obtained by modeling labels as conditionally independent given a sufficiently expressive representation of x.",250
x <REF> .,251
"Accordingly, our first set of experiments consider several standard sequence-labeling tasks and datasets, namely, POS tagging the Penn Treebank <REF> with both the standard Penn Treebank POS tags and Universal POS tags , and the CoNLL 2003 NER task .",252
ELMo <REF> and BERT  enhance the representations by pre-training language models.,253
"• We apply transfer learning techniques, finetuning BERT <REF> and XLM ) models in a predictor-estimator architecture.",254
"Following the recent trend in the NLP community leveraging large-scale language model pretraining for a diverse set of downstream tasks, we used two pre-trained language models as feature extractors, the multilingual BERT <REF> and the Cross-lingual Language Model (XLM) .",255
"<REF> We achieve the best reported performance among methods not using the recently introduced ELMo  and BERT , which are pretrained on extra-large corpora and computationally demanding.",256
Further improvements are possible by incorporating a pretrained BERT <REF> encoder within the architecture.,257
"BERT For some of our experiments, we evaluated incorporating a pre-trained BERT <REF> encoder by effectively using the output of the BERT encoder in place of a learned token embedding table.",258
"We used BERT LARGE <REF>, which has 24 layers.",259
Our experiments build upon recent success in self-supervised pre-training <REF> and multi-task fine-tune BERT  to perform the tasks from the GLUE natural language understanding benchmark .,260
All of our models are built on top of BERT <REF>.,261
Single-task training is performed as in <REF>.,262
BERT-Base <REF> 78.5 BERT-Large  80.5 BERT on STILTs  82.0 MT-DNN  82.,263
BERT-Base <REF> 78.5 BERT-Large  80.5 BERT on STILTs  82.0 MT-DNN  82.,264
"Recently, deep pre-trained language models (LMs) <REF> have shown to be capable of extracting textual representations that contain very rich syntactic and semantic information about the text sequences.",265
"Particularly, we investigate the use of BERT <REF> for assisting the training of Tacotron-2 .",266
"In this section, we start with introducing BERT <REF> and Tacotron-2 .",267
"For domain adaption, we started with the BERT based model trained on Wikipedia <REF> to leverage contextual word embeddings from a large language model.",268
"Firstly, to better capture sentential meaning and compute sentence similarity, we employ BERT <REF>, a neural representation learning model which has obtained state-of-the-art results on various natural language processing tasks including textual inference, question answering, and sentiment analysis.",269
There are many variations of the similarity function of TextRank <REF> based on symbolic sentence representations such as tf-idf.,270
We use BERT (Bidirectional Encoder Representations from Transformers; <REF> to map sentences into deep continuous representations.,271
We used the publicly released BERT model 3 <REF> to initialize our sentence encoder.,272
The second block in <REF> presents the results of the LEAD-3 baseline (which simply creates a summary by selecting the first three sentences in a document) as well as various instantiations of 3 https://github.com/google-research/ bert  TEXTRANK .,273
"Plenty of data sets have been constructed to facilitate research on this topic, such as SQuAD <REF>, NarrativeQA  and CoQA .",274
It was shown that contemporary Long-Short Term Memory (LSTM) or Gated Recurrent Units (GRU) models can take into account the longterm dependencies between words <REF>.,275
Sentiment analysis is a well-studied task in the field of natural language processing and information retrieval <REF>.,276
"Since BERT finetunes all of its layers, we only train for 3 epochs as suggested by <REF>.",277
"Deep, contextualized language models provide powerful, general-purpose linguistic representations that have enabled significant advances among a wide range of natural language processing tasks <REF>.",278
"We explore this question using Multilingual BERT (henceforth, M-BERT), released by <REF> as a single language model pre-trained on the concatenation of monolingual Wikipedia corpora from 104 languages.",279
"Like the original English BERT model (henceforth, EN-BERT), M-BERT is a 12 layer transformer <REF>, but instead of be-  ing trained only on monolingual English data with an English-derived vocabulary, it is trained on the Wikipedia pages of 104 languages with a shared word piece vocabulary.",280
"For NER and POS, we use the same sequence tagging architecture as <REF>.",281
"The presented system is based on text embeddings, namely NNLM [1] and BERT <REF>.",282
"We used Bidirectional Encoder Representations from Transformers -BERT <REF>, more specifically, the multi cased L-12 H-768 A-12 model trained on Wikipedia and the BookCorpus.",283
"In addition to BERT <REF>, we tried to use other models for embeddings generation, namely nnlm , elmo , doc2vec , word2vec  and universal-sentenceencoder .",284
"<REF> utilized convolutional neural networks (CNNs) for phrase normalization in user reviews, while ,  applied recurrent neural networks (RNNs) to UGTs, achieving similar results.",285
"(3) a contextualized word representation model BERT <REF>, which is a multilayer bidirectional Transformer encoder.",286
"The growing interest in teaching machines to answer questions posed in natural language has led to the introduction of various new datasets for different tasks such as reading comprehension, both extractive, e.g., span-based <REF>, and non-extractive, e.g., multiple-choice questions .",287
"Most previous work <REF> was monolingual, and a relevant context for each question was available a priori.",288
"• We study the effectiveness of zero-shot transfer from English to Bulgarian for the task of multiple-choice reading comprehension, using Multilingual and Slavic BERT <REF>, fine-tuned on large corpora, such as RACE .",289
Current state-of-the-art approaches in machine reading comprehension are grounded on transfer learning and fine-tuning of language models <REF>.,290
Current state-of-the-art approaches in machine reading comprehension are grounded on transfer learning and fine-tuning of language models <REF>.,291
"Pre-trained contextualized embeddings such as ELMo <REF>, GPTs  and BERT  give improvements on a range of natural language processing tasks by offering rich language model information.",292
"Self-attention networks <REF> have shown promising empirical results in a variety of natural language processing (NLP) tasks, such as machine translation , semantic role labelling , and language representations .",293
"RNN, SAN, and DiSAN) are consistent with previous findings on other benchmark NLP tasks <REF>.",294
The detection results are concluded in <REF>.,295
Exploring Properties of SAN SAN has yielded strong empirical performance in a variety of NLP tasks <REF>.,296
"Named Entity Recognition (NER) is a foremost NLP task to label each atomic elements of a sentence into specific categories like ""PER-SON"", ""LOCATION"", ""ORGANIZATION"" and others <REF>.",297
"Word2Vec <REF>, GloVe , fastText , etc), or 3) external sentence embedding resource (i.e.",298
It should be noted that some methods <REF> randomly mask or replace a few of the tokens at the input layer to force the model to keep a contextual representation of every input token.,299
We investigate the recently developed Bidirectional Encoder Representations from Transformers (BERT) model <REF> for the hyperpartisan news detection task.,300
"BERT has been used to learn useful representations for a variety of natural language tasks, achieving state of the art performance in these tasks after being fine-tuned <REF>.",301
BERT is a deep bidirectional transformer that has been successfully tuned to a variety of tasks <REF>.,302
<REF> shows that the model consistently performed best at a sequence length of 100.,303
"The most popular approaches were to enhance the standard BLSTM-CRF architecture <REF>, to pretrain an LSTM-based language model or to use transformer-based solutions .",304
"Most participating systems did not use any token-level features other than word embeddings, character-level embeddings, or language model embeddings <REF>.",305
"As the modules in <REF> has less coupling to one another, it is flexible to improve or customise each of them.",306
"Traditional word embeddings, like Word2Vec and GloVe, merge different meanings of a word in a single vector representation <REF>.",307
"In this work, we perform an extensive comparison of existing static and dynamic embeddingbased meaning representation methods on the usage similarity (Usim) task, which involves estimating the semantic proximity of word instances in different contexts <REF>.",308
"Due to its high reliance on context, Usim can be viewed as a semantic textual similarity (STS) <REF> task with a focus on a specific word instance.",309
BERT (Bidirectional Encoder Representations from Transformers) <REF>.,310
"Context prediction is also a popular representation learning approach in natural language processing, with wellknown examples such as word2vec <REF>, ELMo  and BERT .",311
"Recently, large models pre-trained on multiple tasks with vast amounts of data, for instance BERT and MT-DNN <REF>, have obtained stateof-the-art results when fine-tuned over a small set of training samples.",312
"Recently, large models pre-trained on multiple tasks with vast amounts of data, for instance BERT and MT-DNN <REF>, have obtained stateof-the-art results when fine-tuned over a small set of training samples.",313
"In this work, the parameters of WordCaps are trained with the whole model, while sophisticated pretrained models such as ELMo <REF> or BERT  may also be integrated.",314
"Considering that the essence of coherence is semantic relevance between two inputs and many deep learning based approaches have demonstrated their superiority at capturing semantic relevance, such as DSSM <REF>, SMN  and BERT , we use a symmetric neural network for the coherence assessment in this paper.",315
The NLP community is revisiting the role of linguistic structure in applications with the advent of contextual word representations (CWRs) derived from pretraining language models on large corpora <REF>.,316
"Our architecture and methods are general enough to be adapted for richer inductive biases, such as those given by full syntactic trees (RNNGs; , or to different pretraining objectives, such as masked language modeling (BERT; <REF>; we leave this pursuit to future work.",317
"For example, <REF> proposed neural machine-reading models that constructed dynamic knowledge graphs from procedural text.",318
"More recently, <REF> introduced the transformer model as a more sophisticated architecture for sequence to sequence transduction.",319
"More recently, <REF> introduced the transformer model as a more sophisticated architecture for sequence to sequence transduction.",320
Contextualized encoders such as GPT <REF> and BERT  have led to improvements on various structurally similar Natural Language Understanding (NLU) tasks such as variants of Natural Language Inference (NLI).,321
"As yet another extension, one could combine the approaches of multilingual CoVe embeddings and monolingual ELMo (or BERT, <REF> embeddings and jointly train an encoder with a language model and an MT objective, which would potentially combine the benefit of training a model on large monolingual corpora while at the same time aligning the vector spaces of the two languages.",322
Most frequently used word embeddings are word2vec <REF> and GloVe (Global Vectors for Word Representation) .,323
"For future work, we plan to run similar experiments using recently introduced contextual embeddings, (e.g., <REF>, BERT , OpenAI GPT-2 (Radford et al., 2019)), which are expected to implicitly capture more syntax than context-free embeddings used in the current paper.",324
"In the general domain, we have recently observed that the General Language Understanding Evaluation (GLUE) benchmark <REF> has been successfully promoting the development of language representations of general purpose .",325
"To better understand the challenge posed by BLUE, we conduct experiments with two baselines: One makes use of the BERT model <REF> and one makes use of ELMo .",326
"Different from word embeddings, it allows the meaning of a word to change according to the context in which it is used <REF>.",327
"BERT <REF>) is a contextualized word representation model that is pre-trained based on a masked language model, using bidirectional Transformers .",328
"PubMed abstract > 4,000M Biomedical MIMIC-III > 500M Clinical We initialized BERT with pre-trained BERT provided by <REF>.",329
"Recent approaches to transfer learning in NLP have a empted to improve classifier scalability by first training an initial model to perform some task using a large training set, and subsequently fine-tuning the model for different tasks with smaller additional training sets <REF>.",330
"Even more interestingly, it has been shown that word embeddings and language models trained on a large generic corpus and then optimized for downstream NLP tasks produce even better results than training the entire model only to solve this one task <REF>.",331
"We explore four recent models: ELMo, a language model by <REF>, BERT, a transformer by , USE (Universal Sentence Encoder) a sentence encoder by , and T-XL (Transformer-XL) a transformer that includes a recurrence mechanism by .",332
"• BERT is a bidirectional model of stacked transformers that is trained to predict whether a given sentence follows the current sentence, in addition to predicting a number of input words that have been masked <REF>.",333
"Prior work along this line can be roughly divided into two categories: i) pre-trained models that require fine-tuning on the specific transferring task <REF>; ii) methods that extract general-purpose sentence embeddings, which can be effectively applied to downstream NLP tasks without finetuning the encoder parameters .",334
"Common approaches address the ID and SF tasks in joint Deep Learning architectures (e.g., <REF>).",335
"BERT is a Transformer Encoder <REF>, whose main building block is depicted in figure 2.",336
"The SF performance of Bert-Slot is in line, but still higher with respect to <REF>.",337
"This result is interesting because it echoes results from natural language processing, where unsupervised features such as word2vec <REF> and BERT  provide strong performance across many tasks without retraining, which simplifies training pipelines and reduces computational requirements.",338
"Ensemble learning is an effective approach to improve model generalization, and has been used to achieve new state-of-the-art results in a wide range of natural language understanding (NLU) tasks, including question answering and machine reading comprehension <REF>.",339
"Ensemble learning is an effective approach to improve model generalization, and has been used to achieve new state-of-the-art results in a wide range of natural language understanding (NLU) tasks, including question answering and machine reading comprehension <REF>.",340
"Lexicon Encoder (l 1 ): The input X = {x 1 , ..., x m } is a sequence of tokens of length m. Following <REF>, the first token x 1 is always the [CLS] token.",341
"GLUE is a collection of nine NLU tasks as in <REF>, including question answering, sentiment analysis, text similarity and textual entailment.",342
"BERT LARGE This is the large BERT model released by <REF>, which we used as a baseline.",343
"As seen in <REF>, for the usual 10-fold analysis the simple classifiers suggested here are on par with the best and more complex classifier reported in Rad and .",344
"As the book is too small to train any models, we leverage recent advances in large-scale language model-based representations <REF> to compute a representation of each city.",345
"We experiment with three different pretrained representations: ELMo <REF>, BERT , and GloVe .",346
"Our synthetic data generation models, for both question generation and answer extraction, can be fully reproduced by finetuning a publicly available BERT model <REF> on the extractive subsets of SQuAD2 and NQ.",347
with BERT <REF>.,348
We use BERT <REF> * to model each of these distributions.,349
"Despite the success of the co-attention models in multiarXiv:1908.04107v2 [cs.CV] 19 Aug 2019 modal learning tasks, these models only consider inter-modal interactions (i.e., A T V or A T V in <REF>) while neglecting intra-modal ones (i.e., A T T and A V V ).",350
"Inspired by the self-attention model which has achieved remarkable performance in natural language processing <REF>[45] , we design a unified attention model for multimodal data.",351
"The input question is first tokenized into a sequence of words, and then trimmed (or zero padded) to a maximum length of m. Similar to <REF>, we add a dummy token [ans] at the beginning of the question, and the attended feature of this token will be used to predict the answer.",352
"First, we explore the effectiveness of the gating mechanism for the UA block with respect to different number of block L. In <REF>, we report the overall accuracies of the MUAN-L models (L ranges from 2 to 12) with the gating mechanism (i.e., Eq.",353
"We use the BERT model (Bidirectional Encoder Representations from Transformers, <REF> as our base pre-trained model.",354
"On the GLUE benchmark, we show that PALs enable comparable performance to finetuned BERT-base (the smaller of the two models considered by <REF>) on many tasks with ≈7 times fewer parameters.",355
"We used the same BERT-base architecture as by <REF>, twelve attention heads, d f f = 3072 and d m = 768 (see section 3.1).",356
Like <REF> we exclude the Winograd NLI task.,357
the performance of BERT-large vs. BERT-base <REF> or the ablation study by .,358
"An emerging trend in natural language processing is to train a language model in an unsupervised fashion on a large corpus of text, and then to fine-tune the model for a specific task <REF>].",359
<REF>] describes a hash embedding scheme where the output embedding for a feature is a weighted sum between the embedding vectors and the weight vector.,360
"The capability of deep neural models of handling complex dependencies has benefited various artificial intelligence tasks, such as image recognition where test error was reduced by scaling VGG nets <REF> up to hundreds of convolutional layers .",361
It heavily relies on the combination of residual connections <REF> and layer normalization  for convergence.,362
This negative effect explains why the decoder suffers from more severe gradient vanishing than the encoder in <REF>.,363
Denoising auto-encoders <REF> are commonly used for model initialization to extract and select features from inputs.,364
"VisualBERT integrates BERT <REF>, a recent Transformer-based model  for natural language processing, and pretrained object proposals systems such as Faster-  and it can be applied to a variety of vision-and-language tasks.",365
"Our work is inspired by BERT <REF>, a Transformer-based representation model for natural language.",366
BERT <REF>) is a Transformer  with subwords  as input and trained using language modeling objectives.,367
"For all tasks, we use the Karpathy train split <REF> of COCO for task-agnostic pre-training, which has around 100k images with 5 captions each.",368
"Following <REF>, we optimize all models using .",369
Pre-trained embeddings such as word embeddings <REF> and sentence embeddings  have become fundamental NLP tools.,370
"Considering both effectiveness and efficiency, we employ the Transformer encoder <REF> to learn the textual relation embedding.",371
"Language representation pre-training <REF> has been shown effective for improving many natural language processing tasks such as named entity recognition, sentiment analysis, and question answering.",372
"Language representation pre-training <REF> has been shown effective for improving many natural language processing tasks such as named entity recognition, sentiment analysis, and question answering.",373
BERT <REF> uses two different pretraining tasks for language modeling.,374
The Cross-lingual Natural Language Inference (XNLI) corpus <REF> is a crowdsourced collection for the MultiNLI corpus.,375
"For example, convolutional neural network (CNN) <REF> is capable of capturing key words in the sentences, while recurrent neural network (RNN)  is proven to have better performance at modeling long dependencies among text, and so on.",376
"For example, convolutional neural network (CNN) <REF> is capable of capturing key words in the sentences, while recurrent neural network (RNN)  is proven to have better performance at modeling long dependencies among text, and so on.",377
"BERT is a language model built upon bidirectional training a popular attention model, Transformer <REF>.",378
"For fine-tuning of the target model, we keep most of the hyperparameters the same as pre-traning in <REF>, except for batch size, learning rate, and train epochs.",379
"Recently, deep learning models have been proposed to learn powerful input representations for text classification <REF> as well as the XMC problem .",380
"XML-CNN <REF> employed CNN models on the text input, while AttentionXML  and HAXMLNet  used attention models to extract the embeddings from text inputs.",381
Bidirectional Encoder Representations from Transformers (a.k.a BERT <REF>) stands as the latest developments in this direction that significantly outperforms many predecessors such as the Generative Pretrained Transformer (GPT)  and Embeddings from Language Models (ELMo) .,382
"Following the setting of <REF>, we begin with the pre-trained BERT model with 12 layers of Transformer blocks and take the final hidden state of the [CLS] input token as document embedding v ∈ R u , as shown in .",383
"We thereby compare more traditional approaches, such as a linear classifier on top of TF-IDF features with very recent transfer learning methods, namely ULMFit <REF> and BERT .",384
<REF> have become a popular alternative to bag-of-word representations.,385
"As opposed to ULMFit which uses an AWD-LSTM for the language model, BERT (Bidirectional Encoder Representations from Transformers) <REF> builds on top of transformers, which are attentionbased neural network building blocks, recently proposed in .",386
"We followed the unsupervised training approach in <REF> to train two MT systems, one for EN↔GU and a second for HI→GU.",387
"External Transferable Knowledge and Learning schemas Clearly, the improvement in accuracy and performance is not merely because of the shift from feature engineering to structure engineering, but the flexible ways to incorporate external knowledge <REF> and learning schemas to introduce extra instructive constraints .",388
"Specifically, these models differ in the types of architectures (Encoders: CNN, LSTM, Transformer <REF>; Decoders: auto-regressive 3 , non auto-regressive), external transferable knowledge (GloVe , BERT , NEWSROOM ) and different learning schemas (supervised learning and reinforcement learning).",389
"The success of neural network-based models on NLP tasks cannot only be attributed to the shift from feature engineering to structural engineering, but the flexible ways to incorporate external knowledge <REF>.",390
"Unsupervised transferable knowledge Two typical unsupervised transferable knowledge are explored in this paper: context independent word embeddings <REF> and contextualized word embeddings , have put the state-of-the-art results to new level on a large number of NLP taks recently.",391
"First, we employ fastText embeddings <REF> mapped to a multilingual space in a supervised fashion (Conneau et al.,  2017).",392
"Latest works such as <REF> empirically find that transformer can outperform LSTMs by a large margin, and the success is mainly attributed to selfattention.",393
"The specific embedding model we use is BERT <REF>, a so-called transformer architecture which captures relations among words in an unsupervised fashion with the help of an attention mechanism .",394
BERT 7 <REF> is a state-of-theart supervised sentence embedding approach based on the Transformer architecture.,395
"Our approach for both task 1 and task 2 is based on the state-of-the-art natural language understanding model MT-DNN <REF>, which combines the strength of multi-task learning (MTL) and language model pre-training.",396
We base our model on the state-of-the-art natural language understanding model MT-DNN <REF>.,397
"• BERT: Since MT-DNN is based off of the BERT <REF> model as the encoder, we also compare results using just the pre-trained BERT.",398
The importance of attending to both past and future tokens is apparent in self-attention architectures such as the Transformer <REF>.,399
We implement BISON based on the BERT Pytorch code 1 and initialize with the pre-trained BERT model BERT-BASE-UNCASED <REF> .,400
We implement BISON based on the BERT Pytorch code 1 and initialize with the pre-trained BERT model BERT-BASE-UNCASED <REF> .,401
Bidirectionality is one of the crucial ingredients in the success of the recently proposed unsupervised language model BERT <REF>.,402
Bidirectionality is one of the crucial ingredients in the success of the recently proposed unsupervised language model BERT <REF>.,403
"Building off improved models like the transformer <REF>, recent work has pushed models with parameter counts numbering in the billions and consume larger data sets to yield new state-of-the-art figures on held-out data .",404
"Recently, a novel attention-based network architecture named Transformer was proposed in <REF>.",405
A well-known example is bi-directional encoder representations from Transformers (BERT) <REF>.,406
"Recently, there is a growing interest in applying MTL to representation learning using deep neural networks (DNNs) <REF> for two reasons.",407
"Recently, there is a growing interest in applying MTL to representation learning using deep neural networks (DNNs) <REF> for two reasons.",408
"Lexicon Encoder (l 1 ): The input X = {x 1 , ..., x m } is a sequence of tokens of length m. Following <REF>, the first token x 1 is always the [CLS] token.",409
Transformer Encoder (l 2 ): We use a multilayer bidirectional Transformer encoder <REF> to map the input representation vectors (l 1 ) into a sequence of contextual embedding vectors C ∈ R d×m .,410
The pretraining stage follows that of the BERT model <REF>.,411
"This, in turn, makes the model architecture simpler, easy to understand and renders the task network agnostic, allowing for easier plug and play using existing components, such as pre-trained contextual word embeddings <REF>, etc.",412
"Note on pre-trained contextual word embedding: Although our framework easy integration of contextual pre-trained embeddings, like BERT <REF> and EMLo  by replacing the word contextualization component, however, in order to reduce model obfuscation and to have fair comparison against baselines, we exclude them in our experimentation.",413
Undirected neural sequence models such as BERT <REF> have recently brought significant improvements to a variety of discriminative language modeling tasks such as questionanswering and natural language inference.,414
BERT <REF> is a masked language model: It is trained to predict a word given the word's left and right context.,415
"Word2vec <REF>, which extracts knowledge from unannotated texts, has been one of the major advancements in natural language processing.",416
BioBERT basically has the same structure as BERT <REF>.,417
"BERT <REF> is a contextualized word representation model, which is pre-trained based on a masked language model using bidirectional Transformers.",418
We list the tested pre-training corpus combinations in <REF>.,419
"Following the work of <REF>, BERT was pre-trained for 1,000,000 steps on English Wikipedia and BooksCorpus.",420
"The ImageNet <REF>), a collection of more than 1.5 million labelled images distributed over 1, 000 classes, facilitates the development of new model such as ResNet  that surpasses human performance in image recognition.",421
"We make use of BERT <REF>), a language model using bidirectional encoder representations from transformers, in a sentence-classification configuration.",422
"<REF>, or an existing single model must be able to productively incorporate question classification information.",423
"We lightly tuned hyperparameters on the development set surrounding those reported by <REF>, and ultimately settled on parameters similar to their original work, tempered by technical limitations in running the BERT-Large model on available hardware: maximum sequence length = 128, batch size = 16, learning rate: 1e-5.",424
"As shown in <REF>,  In practice, we usually perform the masking operation for items in a user session with γ =30 to 40 percent.",425
Customer co-view and co-purchase information can be directly used to build product embedding such that products with similar browse or purchase history will share similar vectors <REF>.,426
"During training, U is generated from the catalog data of 40 million products, the dimension of the hidden layer is 32 for the attention module, 64 for φ(U ), and the model parameters are optimized via Adam Optimizer <REF>.",427
"More recently, the pre-trained language models, such as ELMo <REF>, OpenAI GPT , and BERT , have shown their effectiveness to alleviate the effort of feature engineering.",428
"BERT <REF> is a new language representation model, which uses bidirectional transformers to pre-train a large corpus, and fine-tunes the pre-trained model on other tasks.",429
"On the other hand, it can be seen from the amazing improvement of the BERT model on the QA and NLI tasks <REF>) that the BERT model has an advantage in dealing with sentence pair classification tasks.",430
"Concurrently, the NLP community continues to build better contextual text representations such as ELMo <REF> and BERT .",431
"In pretrained DNN i-vector systems <REF>, the DNN gives a distribution over classes of context-dependent phones, which are then aggregated into sufficient statistics for i-vector training.",432
"Given recent work that combining CNNs with BLSTMs before SAP improves LR performance <REF>, we propose using dilated convolutions to capture local extraction and a wide temporal receptive field without resorting to recurrent layers.",433
"One could relax the supervised ASR task to semi-supervised or self-supervised learning, as is done with language representation modeling <REF>.",434
"Benchmarks and training data for such an event completion task are provided by Spitz and Gertz <REF>, who used it to evaluate ranking in entity cooccurrence networks.",435
"As far as we are aware, text generation with the state-of-the-art quality-diversity trade-off can be achieved with vanilla Transformer or Transformer-XL with beam search (for translation and chatbot) or temperature-tuned decoding, depending on the task of interest <REF>.",436
"In the natural language processing (NLP) community, neural network language models have been applied successfully to improve various downstream applications <REF>, , including commonsense reasoning.",437
"We are also currently investigating the integration of recent, larger, masked language models, such as BERT <REF>, into our framework.",438
Natural language processing (NLP) has achieved significant advances in reading comprehension tasks <REF>.,439
"It is nonetheless worth discussing again why we would want to use latent variable models in the first place, especially given that from a pure performance standpoint, models that do not formally make use of latent variables such as LSTMs and transformer networks are incredibly effective <REF>.",440
"Recently-proposed attention mechanisms in deep neural network models have also shown great promise in learning to predict complex time-series data <REF>, .",441
The Transformer <REF> is a state-of-the-art neural network architecture for NLP tasks like machine translation .,442
"In two such cases <REF>, , SOTA results have been achieved for multiple tasks, while using text classification vectors of equal size to the (single token) embedding.",443
"In two such cases <REF>, , SOTA results have been achieved for multiple tasks, while using text classification vectors of equal size to the (single token) embedding.",444
"For each level of the DVT, we perform the Masked Language Modeling task described in <REF>.",445
"For each level of the DVT, we perform the Masked Language Modeling task described in <REF>.",446
"This task is a generalization of what is referred to in <REF> as the ""Next Sentence Prediction"" task and is meant to replace it, both for the token level and higher levels of the DVT.",447
"At the moment, the most exciting developments in mastering language are coming from the frontier of deep learning and unsupervised language models <REF>.",448
"In this paper we use Bidirectional Encoder Representations from Transformers (BERT) <REF> as the transformer-based encoder, but this solution is not limited to using BERT alone.",449
"Another successful neural network paradigm is the attention mechanism <REF>, which has been extremely useful in tackling many machine learning tasks , particularly sequence-based tasks .",450
"Learned, or distributed, word vector representations <REF> replaced one-hot encodings.",451
"Much of the recent NLP research has focused on transfer learning techniques such as pre-training word embeddings <REF>, or pre-training language models on larger datasets and fine-tuning them for task-specific learning .",452
"More recently, pre-trained language models such as BERT have begun to emerge <REF>.",453
"For classification tasks such as this, the start of sentence was indicated with special token ""[CLS]"" and end of sentence with special token "" <REF>"".",454
"• In SLE, an item is represented via the sentence level embedding of BERT <REF>, i.e., the embedding of token [CLS] is used as the item's embedding.",455
"As components, language models are useful for many Natural Language Processing (NLP) tasks such as generation <REF> and machine translation .",456
ELMo <REF> and BERT  used different unsupervised objectives to pre-train text models which have advanced the state-of-the-art for many NLP tasks.,457
The Situations With Adversarial Generations (SWAG) dataset <REF> introduced a large-scale benchmark for commonsense question answering in the form of multiple choice sentence completion questions describing situations as observed in video.,458
Contextual word embedding models such as ELMo <REF> and BERT  have dramatically improved performance for many natural language processing (NLP) tasks in recent months.,459
"Natural language processing (NLP) has been shaken in recent months with the dramatic successes enabled by transfer learning and contextual word embedding models, such as ELMo <REF>, ULMFiT , and BERT .",460
"Contextual Embeddings in General Traditional word-level vector representations, such as word2vec <REF>, GloVe , and fastText , express all possible meanings of a word as a single vector representation and cannot disambiguate the word senses based on the surrounding context.",461
"For all pre-training experiments, we leverage the tensorflow implementation of BERT <REF>.",462
"Similar to asynchronous bidirectional decoding  and bidirectional language models in BERT <REF>, the proposed SB-NMT model also faces the same training problem that the bidirectional decoding would allow the words (the second half of the decoding sequence) to indirectly ""see themselves"" from the other decoding direction.",463
"• We adopt recent progress in large pretrained contextual word embeddings, i.e., BERT <REF> into dialog state tracking, and get considerable improvement.",464
The recent advancements in the neural representation of words includes using character embeddings <REF> and more recently using contextualized embeddings such as  and BERT .,465
"In particular, for pre-trained word vectors p i , we experiment with using deep contextualized word embeddings using BERT <REF>.",466
"For all the three models, we encode the word tokens with BERT <REF> followed by an affine layer with 200 hidden units.",467
We also reported the result for a hybrid model by combining our approach with the JST approach in <REF>.,468
"Moreover, BERT <REF> pretrains language models and fine-tunes them on the target task.",469
"Self-training methods such as ELMo <REF>, GPT , BERT , XLM , and XLNet  have brought significant performance gains, but it can be challenging to determine which aspects of the methods contribute the most.",470
"We present a replication study of BERT pretraining <REF>, which includes a careful evaluation of the effects of hyperparmeter tuning and training set size.",471
"In this section, we give a brief overview of the BERT <REF> pretraining approach and some of the training choices that we will examine experimentally in the following section.",472
"Unlike <REF>, we do not randomly inject short sequences, and we do not train with a reduced sequence length for the first 90% of updates.",473
GLUE The General Language Understanding Evaluation (GLUE) benchmark <REF>) is a collection of 9 datasets for evaluating natural language understanding systems.,474
"For each separate label, we create learnable segment embeddings (inspired by <REF>) as shown in , using the subtokenization scheme described in .",475
"Classifiers: In <REF>, Naive Bayes refers to the classifier from .",476
"Model architecture We used a pretrained BERT model <REF> (12 layers, 768 units per layer) as the basis for our classification model.",477
"Model architecture We used a pretrained BERT model <REF> (12 layers, 768 units per layer) as the basis for our classification model.",478
"To address the data sparsity challenge, a variety of techniques were proposed for training general purpose language representation models using an enormous amount of unannotated text, such as ELMo <REF> and Generative Pre-trained Transformer (GPT) .",479
We first briefly describe the BERT model <REF> and then introduce the proposed joint model based on BERT.,480
"A large portion of temporal language has a similar parsing structure <REF>, as shown in .",481
"In NLP, Neural language model pre-training has shown to be effective for improving many tasks <REF>.",482
"In NLP, Neural language model pre-training has shown to be effective for improving many tasks <REF>.",483
"where d is the number of columns of Q and K. In these work <REF>, they all use the multi-head attention, as introduced in ,",484
"Different from the architectures of convolutional neural network (CNNs) and recurrent neural networks (RNNs) language modeling, the Transformer <REF> and its variants  achieve excellent results in language modeling processing.",485
"Different from the architectures of convolutional neural network (CNNs) and recurrent neural networks (RNNs) language modeling, the Transformer <REF> and its variants  achieve excellent results in language modeling processing.",486
"For example, recent studies have shown a significant improvement using large-scale data to train large deeper models for natural language understanding tasks <REF>.",487
